experiment,seed,comparison_tier,schedule,epochs_planned,epochs_recorded,best_epoch,training_best_map50_95,patience,early_stopped,protocol_revision,best,best_sha256,last,last_sha256,config_hash,initializer_sha256,parent_checkpoint,resumed_from,detect_scales,forward_output_type,names,params,strict_native_reload,strides
B0-Clean,42,strict_fair,direct100,100,100,12,0.47384,100,False,pre-amendment-patience100,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/b0-clean-seed42/weights/best.pt,834c09acea234007f32c8f3c2a682ae1aa7eb0744bcbd5e9b1d20ec1ea42530a,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/b0-clean-seed42/weights/last.pt,03ac4afd7839b90ba516a1b98e90c5bb362bdb2455e8512e09650d71d8f9ff72,5715e6862a0cf77ae96cd23ad2bd1b5e6d179818d7c4001ad44bfa2a3664107b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20054550,True,"[8.0, 16.0, 32.0]"
B0-Clean,43,strict_fair,direct100,100,100,69,0.4467,100,False,pre-amendment-patience100,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/b0-clean-seed43/weights/best.pt,d7c191bfbd1074da4b8f30def0460b9ad51b4c37b46c0498c9c82aded827a968,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/b0-clean-seed43/weights/last.pt,67ad5dd4f8cc9a3cfb81acf43718119b2d7ebc995d55712f1b4305e2bfaaf7dd,5715e6862a0cf77ae96cd23ad2bd1b5e6d179818d7c4001ad44bfa2a3664107b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,3,tuple,"{'0': 'ball', '1': 'bat'}",20054550,True,"[8.0, 16.0, 32.0]"
P2-Direct-Clean,42,strict_fair,direct100,100,100,58,0.44949,100,False,pre-amendment-patience100,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-direct-clean-seed42/weights/best.pt,941d6c0fa8e8d4edd9910b6f81279b7d619cea8538d0b13fe06f8774860f772c,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-direct-clean-seed42/weights/last.pt,7e04107827666dc6fbf33a95db52d363d7af9678cd5e9614672f9baf03ec361b,5715e6862a0cf77ae96cd23ad2bd1b5e6d179818d7c4001ad44bfa2a3664107b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Direct-Clean,43,strict_fair,direct100,100,100,39,0.44281,100,False,pre-amendment-patience100,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-direct-clean-seed43/weights/best.pt,a53a4027bf4b96d557b97a1e5c133de114d768433a5a5b9cde1bb7ef753434e7,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-direct-clean-seed43/weights/last.pt,9471f72c97efb4fd181085015bc6e15036e076019d06f896d36301721ee0a2b8,5715e6862a0cf77ae96cd23ad2bd1b5e6d179818d7c4001ad44bfa2a3664107b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20868696,True,"[4.0, 8.0, 16.0, 32.0]"
P2-PaperFormula-Clean,42,strict_fair,direct100,100,100,34,0.46143,100,False,pre-amendment-patience100,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-paperformula-clean-seed42/weights/best.pt,c436ccc354389667c69ea2a097d1150e17bca369ebb175691d4e8fae52777e3c,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-paperformula-clean-seed42/weights/last.pt,b6a68ade8295639a6fdfbe8d74cf79e83509c56d0d181f136ab7f8018e3b3231,5715e6862a0cf77ae96cd23ad2bd1b5e6d179818d7c4001ad44bfa2a3664107b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20911960,True,"[4.0, 8.0, 16.0, 32.0]"
P2-PaperFormula-Clean,43,strict_fair,direct100,100,79,49,0.44224,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-paperformula-clean-seed43/weights/best.pt,54203cd2e4526fd34a59fc0304264213ef6479c69081ed77a6a9666bd386dd36,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-paperformula-clean-seed43/weights/last.pt,543c957ab9746e69622c1da200f2ae400b7da180fee925a444f9210f6a6678af,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20911960,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Lite35-Clean,42,strict_fair,direct100,100,73,43,0.44095,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-clean-seed42/weights/best.pt,3c76cd211211e7f73d2176e7f761b01abf8b5d9e487ef2ed23c7d0c69a2b2843,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-clean-seed42/weights/last.pt,6705270ac680e1191224da9d03f517d25234df924ff32a0ebe9ed48580741d56,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20906840,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Lite35-Clean,43,strict_fair,direct100,100,100,70,0.45832,30,False,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-clean-seed43/weights/best.pt,79b8eaea9d7e05f4b30f9eea5c920ef6f47b60f14afa3c4e9d2439c47b886778,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-clean-seed43/weights/last.pt,efd7348a7c06115110e15b24643deb18f8aef216374151065679e99b9ddc2d4a,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20906840,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Lite35-F7-Clean,42,strict_fair,direct100,100,75,45,0.43684,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-f7-clean-seed42/weights/best.pt,3ff2d6f6bb13a3e225357bc781beea03f993b4613c776bf1c8d778ee6918b914,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-f7-clean-seed42/weights/last.pt,9a440d7d28ff46fff3956cac626d8bf16261f0a90dbcdca222fd11fc06c03a46,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20909144,True,"[4.0, 8.0, 16.0, 32.0]"
P2-Lite35-F7-Clean,43,strict_fair,direct100,100,80,50,0.44126,30,True,amended-patience30,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-f7-clean-seed43/weights/best.pt,7f616b366f77d6b56cea61759d8162d2d90c61fd1a4b881a2775209a1f90d7ed,/home/uxin/yolo/yolo_masf/artifacts/clean-bbt5-ablation/training/p2-lite35-f7-clean-seed43/weights/last.pt,f689d8087a317023410cc7a3b4f1e9e293e0ce5c5b85e5e62b402ddfb55ac84f,42d3d82bcbb743c98ae6add102e785e7112780944b10a27a4d0f2baf31ebf12b,d5ffc1a674953a08e11a8d21e022781b1b23a19b730afc309290bd9fb5305b95,,,4,tuple,"{'0': 'ball', '1': 'bat'}",20909144,True,"[4.0, 8.0, 16.0, 32.0]"
